pm10,so2,co,o3,no2,kategori
51.0,10.0,15.0,77.0,12.0,2.0
48.0,14.0,25.0,59.0,19.0,2.0
78.0,14.0,16.0,68.0,20.0,2.0
38.0,14.0,28.0,36.0,19.0,3.0
58.0,8.0,15.0,34.0,16.0,2.0
114.0,6.0,13.0,38.0,15.0,1.0
107.0,6.0,19.0,51.0,10.0,1.0
62.0,13.0,23.0,46.0,22.0,2.0
62.0,15.0,31.0,123.0,18.0,1.0
34.0,8.0,16.0,64.0,15.0,2.0
53.0,16.0,28.0,74.0,22.0,2.0
64.0,22.0,25.0,75.0,17.0,2.0
53.0,10.0,13.0,61.0,11.0,2.0
54.0,16.0,17.0,40.0,11.0,2.0
59.0,18.0,44.0,41.0,18.0,2.0
58.0,20.0,13.0,35.0,8.0,2.0
65.0,14.0,34.0,63.0,14.0,2.0
66.0,20.0,36.0,53.0,19.0,2.0
58.0,16.0,20.0,50.0,11.0,2.0
62.0,15.0,12.0,41.0,10.0,2.0
63.0,23.0,14.0,38.0,12.0,2.0
60.0,19.0,12.0,43.0,11.0,3.0
32.0,2.0,19.0,60.0,10.0,2.0
41.0,2.0,25.0,92.0,12.0,2.0
35.0,3.0,13.0,78.0,10.0,2.0
42.0,2.0,13.0,114.0,8.0,1.0
31.0,2.0,13.0,43.0,12.0,3.0
29.0,2.0,9.0,74.0,6.0,2.0
25.0,1.0,7.0,52.0,4.0,2.0
48.0,3.0,20.0,146.0,8.0,1.0
51.0,2.0,18.0,120.0,10.0,1.0
37.0,3.0,18.0,99.0,7.0,2.0
23.0,2.0,25.0,44.0,6.0,3.0
28.0,2.0,13.0,41.0,4.0,3.0
22.0,2.0,8.0,20.0,4.0,3.0
24.0,2.0,7.0,31.0,3.0,3.0
24.0,2.0,7.0,29.0,4.0,3.0
22.0,2.0,11.0,36.0,5.0,3.0
26.0,3.0,19.0,125.0,8.0,1.0
28.0,2.0,7.0,111.0,10.0,1.0
33.0,3.0,19.0,94.0,9.0,2.0
27.0,4.0,22.0,97.0,13.0,2.0
55.0,4.0,20.0,104.0,17.0,1.0
31.0,2.0,10.0,55.0,9.0,2.0
32.0,4.0,20.0,73.0,10.0,2.0
47.0,5.0,17.0,50.0,12.0,3.0
63.0,5.0,28.0,89.0,7.0,2.0
50.0,4.0,24.0,80.0,11.0,2.0
45.0,4.0,10.0,71.0,8.0,2.0
41.0,4.0,11.0,52.0,9.0,2.0
32.0,4.0,8.0,51.0,10.0,2.0
41.0,6.0,8.0,67.0,8.0,2.0
53.0,1.0,25.0,90.0,10.0,2.0
59.0,1.0,29.0,87.0,15.0,2.0
61.0,2.0,28.0,151.0,16.0,1.0
65.0,2.0,29.0,144.0,11.0,1.0
49.0,1.0,38.0,66.0,11.0,2.0
43.0,1.0,16.0,132.0,10.0,1.0
34.0,1.0,16.0,63.0,14.0,2.0
17.0,2.0,24.0,90.0,15.0,2.0
34.0,3.0,22.0,83.0,16.0,2.0
24.0,2.0,27.0,67.0,10.0,2.0
66.0,2.0,29.0,93.0,11.0,2.0
63.0,1.0,21.0,54.0,10.0,2.0
35.0,1.0,12.0,38.0,5.0,3.0
51.0,1.0,12.0,60.0,6.0,2.0
40.0,1.0,20.0,93.0,7.0,2.0
61.0,2.0,21.0,90.0,13.0,2.0
56.0,1.0,34.0,106.0,11.0,1.0
41.0,1.0,17.0,102.0,12.0,1.0
52.0,3.0,30.0,78.0,13.0,2.0
58.0,3.0,28.0,87.0,12.0,2.0
75.0,2.0,26.0,120.0,9.0,1.0
53.0,1.0,28.0,71.0,7.0,2.0
64.0,3.0,54.0,71.0,13.0,2.0
67.0,2.0,27.0,61.0,10.0,2.0
78.0,1.0,42.0,89.0,13.0,2.0
77.0,2.0,34.0,99.0,14.0,2.0
68.0,2.0,26.0,75.0,10.0,2.0
72.0,2.0,21.0,60.0,9.0,2.0
67.0,2.0,15.0,60.0,7.0,2.0
71.0,3.0,13.0,68.0,9.0,2.0
54.0,3.0,26.0,100.0,17.0,2.0
67.0,4.0,40.0,88.0,20.0,2.0
66.0,2.0,24.0,68.0,12.0,2.0
60.0,4.0,23.0,72.0,9.0,2.0
56.0,2.0,37.0,39.0,15.0,2.0
47.0,2.0,10.0,68.0,6.0,2.0
38.0,3.0,11.0,55.0,7.0,2.0
49.0,3.0,26.0,167.0,12.0,1.0
55.0,4.0,20.0,167.0,10.0,1.0
63.0,4.0,16.0,62.0,9.0,2.0
56.0,7.0,19.0,68.0,10.0,2.0
55.0,3.0,26.0,27.0,14.0,2.0
30.0,3.0,8.0,25.0,5.0,3.0
29.0,2.0,5.0,28.0,2.0,3.0
42.0,2.0,10.0,29.0,4.0,3.0
44.0,3.0,11.0,50.0,13.0,3.0
69.0,3.0,34.0,104.0,12.0,1.0
45.0,2.0,12.0,105.0,10.0,1.0
52.0,4.0,41.0,133.0,13.0,1.0
67.0,5.0,34.0,128.0,16.0,1.0
69.0,5.0,37.0,69.0,13.0,2.0
50.0,3.0,23.0,39.0,11.0,3.0
65.0,5.0,50.0,72.0,14.0,2.0
71.0,6.0,33.0,65.0,16.0,2.0
79.0,3.0,43.0,140.0,13.0,1.0
76.0,4.0,58.0,86.0,24.0,2.0
62.0,4.0,23.0,58.0,11.0,2.0
62.0,3.0,26.0,48.0,13.0,2.0
57.0,5.0,18.0,57.0,14.0,2.0
59.0,5.0,15.0,63.0,13.0,2.0
70.0,2.0,16.0,62.0,12.0,2.0
56.0,2.0,33.0,48.0,19.0,2.0
71.0,3.0,27.0,54.0,12.0,2.0
74.0,3.0,18.0,64.0,12.0,2.0
72.0,1.0,15.0,61.0,12.0,2.0
75.0,3.0,28.0,58.0,18.0,2.0
81.0,1.0,28.0,53.0,16.0,2.0
53.0,1.0,31.0,43.0,17.0,2.0
62.0,2.0,28.0,55.0,16.0,2.0
58.0,2.0,32.0,74.0,25.0,2.0
61.0,3.0,32.0,76.0,19.0,2.0
56.0,1.0,32.0,70.0,18.0,2.0
57.0,2.0,35.0,37.0,15.0,2.0
74.0,3.0,45.0,57.0,22.0,2.0
72.0,2.0,34.0,48.0,28.0,2.0
